Invoice_Line,Related_Doc,Code,Charge_Name,Charge_Type,Description,Amount,Mileage,Family,SKUs,TV_Size,TV_Qty,Status,Strategy,Expected,Diff,Contract_Ref,Note
14,7325573613,1305772,Installation Fee,installation,Complex Install ≤ 125 Mi,85.1,86.47,"microwaves, ranges","NSG6DG8550SRAA, ME21DG6500SRAA, HA-INST-RNG0G, DM_HA_STANDARD, HA-INST-MWO00",,,SKIPPED,,0.0,0.0,,
15,7325573613,1305771,Installation Fee,installation,White Glove,17.03,86.47,"microwaves, ranges","NSG6DG8550SRAA, ME21DG6500SRAA, HA-INST-RNG0G, DM_HA_STANDARD, HA-INST-MWO00",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
16,7325573613,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,86.47,"microwaves, ranges","NSG6DG8550SRAA, ME21DG6500SRAA, HA-INST-RNG0G, DM_HA_STANDARD, HA-INST-MWO00",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
17,7325573613,1002771,Truck Freight Charge,freight,Last Mile Surcharge,21.89,86.47,"microwaves, ranges","NSG6DG8550SRAA, ME21DG6500SRAA, HA-INST-RNG0G, DM_HA_STANDARD, HA-INST-MWO00",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,22.94,-1.05,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (86.47 - 75) mi * $2.0 = $22.94
18,7317911955,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,25.93,14.07,"television-home-theater-accessories, tvs","L-INST/A1-EQ55, QN100QN80FFXZA, DM_CE_STANDARD_LARGE",100-inch,1,MATCH (FSA),FSA_12thAmd_Table,25.93,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($112.2 + $96.9) = $25.93
19,7317911955,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,112.2,14.07,"television-home-theater-accessories, tvs","L-INST/A1-EQ55, QN100QN80FFXZA, DM_CE_STANDARD_LARGE",100-inch,1,MATCH (Wall Mount),Wall_Mount_12thAmd,112.2,0.0,12th Amd (Pg 3): Wall Mount Delivery @ $110.0,SKU: L-INST/EQ55 | Calc: $110.0 * 1.02 (GRI) = $112.2
20,7317911955,1305900,Installation Fee,installation,Standard Tv Delivery Plus Wall Mount- Unconcealed,96.9,14.07,"television-home-theater-accessories, tvs","L-INST/A1-EQ55, QN100QN80FFXZA, DM_CE_STANDARD_LARGE",100-inch,1,MATCH (Wall Mount Install),WM_Install_12thAmd,96.9,0.0,12th Amd (Pg 3): Wall Mount Install @ $95.0,Code 1305900 | Calc: $95.0 * 1.02 (GRI) = $96.9
21,7317911955,1305805,Installation Fee,installation,Additional Labor Daily (3-Man Truck),157.0,14.07,"television-home-theater-accessories, tvs","L-INST/A1-EQ55, QN100QN80FFXZA, DM_CE_STANDARD_LARGE",100-inch,1,MATCH (Accessorial),14thAmd_3rdMan,157.0,0.0,14th Amd (Sec e): 3rd Man @ $157.0,Size: 100-inch | Calc: Flat Rate $157.0
22,7317911955,1305792,Installation Fee,installation,Not Home,87.36,14.07,"television-home-theater-accessories, tvs","L-INST/A1-EQ55, QN100QN80FFXZA, DM_CE_STANDARD_LARGE",100-inch,1,MATCH (Not Home / Attempt),NotHome_Universal,87.36,-0.0,Universal Attempt Fee (Base $77.0),Calc: $77.0 * 1.13455 (GRI) = $87.36
23,7325573614,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,145.39,dishwashers,"DW80CG5450SRAA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
24,7325573614,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,145.39,dishwashers,"DW80CG5450SRAA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
25,7325573614,1002771,Truck Freight Charge,freight,Last Mile Surcharge,139.3,145.39,dishwashers,"DW80CG5450SRAA, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,140.78,-1.48,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (145.39 - 75) mi * $2.0 = $140.78
26,7325573616,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,13.27,cooktops-and-hoods,"NA36N6555TG/AA, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
27,7325573616,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,13.27,cooktops-and-hoods,"NA36N6555TG/AA, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
28,7303945820,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,12.4,41.67,tvs,"QN75LST7DAFXZA, DM_CE_STANDARD_LARGE",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,12.4,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($100.0) = $12.4
29,7303945820,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,100.0,41.67,tvs,"QN75LST7DAFXZA, DM_CE_STANDARD_LARGE",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,100.0,-0.0,12th Amd (Pg 3): TV Threshold 25-50 Miles @ $98.04,Size: 75-inch | Calc: 1 Unit: $98.04 * 1.02 (GRI) = $100.0
30,7325449368,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,133.24,refrigerators,"HA-INST-BESPOKE00, RF90F29AEWAA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
31,7325449368,1305771,Installation Fee,installation,White Glove,17.03,133.24,refrigerators,"HA-INST-BESPOKE00, RF90F29AEWAA, DM_HA_STANDARD",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
32,7325449368,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,133.24,refrigerators,"HA-INST-BESPOKE00, RF90F29AEWAA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
33,7325449368,1002771,Truck Freight Charge,freight,Last Mile Surcharge,115.42,133.24,refrigerators,"HA-INST-BESPOKE00, RF90F29AEWAA, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,116.48,-1.06,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (133.24 - 75) mi * $2.0 = $116.48
34,7325701740,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,33.5,refrigerators,"RZ11M7074SA/AA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
35,7325701740,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,33.5,refrigerators,"RZ11M7074SA/AA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
36,7325189949,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,82.31,"washers, refrigerators, dishwashers, ranges, dryers, microwaves","DVE47CG3500VA3, RF29BB8600QLAA, ME21DG6700SRAA, DW80B7070US/AA, NSG6DG8300SRAA, WA54CG7105AVUS, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
37,7325189949,1002770,Truck Freight Charge,freight,Last Mile (Delivery),145.23,82.31,"washers, refrigerators, dishwashers, ranges, dryers, microwaves","DVE47CG3500VA3, RF29BB8600QLAA, ME21DG6700SRAA, DW80B7070US/AA, NSG6DG8300SRAA, WA54CG7105AVUS, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
38,7325189949,1002771,Truck Freight Charge,freight,Last Mile Surcharge,13.93,82.31,"washers, refrigerators, dishwashers, ranges, dryers, microwaves","DVE47CG3500VA3, RF29BB8600QLAA, ME21DG6700SRAA, DW80B7070US/AA, NSG6DG8300SRAA, WA54CG7105AVUS, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,14.62,-0.69,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (82.31 - 75) mi * $2.0 = $14.62
39,7325013582,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,132.61,"all-in-one-washer-dryer-combo, home-appliances-accessories, washers, refrigerators","HA-HAUL-AWY, HA-INST-WAS00, WD53DBA900HBA1, WE702NB/US, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
40,7325013582,1305771,Installation Fee,installation,White Glove,17.03,132.61,"all-in-one-washer-dryer-combo, home-appliances-accessories, washers, refrigerators","HA-HAUL-AWY, HA-INST-WAS00, WD53DBA900HBA1, WE702NB/US, DM_HA_STANDARD",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
41,7325013582,1305780,Unknown,Unknown,Unknown,20.42,132.61,"all-in-one-washer-dryer-combo, home-appliances-accessories, washers, refrigerators","HA-HAUL-AWY, HA-INST-WAS00, WD53DBA900HBA1, WE702NB/US, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
42,7325013582,1305780,Unknown,Unknown,Unknown,20.42,132.61,"all-in-one-washer-dryer-combo, home-appliances-accessories, washers, refrigerators","HA-HAUL-AWY, HA-INST-WAS00, WD53DBA900HBA1, WE702NB/US, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
43,7325013582,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,132.61,"all-in-one-washer-dryer-combo, home-appliances-accessories, washers, refrigerators","HA-HAUL-AWY, HA-INST-WAS00, WD53DBA900HBA1, WE702NB/US, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
44,7325013582,1002771,Truck Freight Charge,freight,Last Mile Surcharge,115.42,132.61,"all-in-one-washer-dryer-combo, home-appliances-accessories, washers, refrigerators","HA-HAUL-AWY, HA-INST-WAS00, WD53DBA900HBA1, WE702NB/US, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,115.22,0.2,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (132.61 - 75) mi * $2.0 = $115.22
45,7320261552,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,25.93,143.12,"television-home-theater-accessories, tvs","QN65S90FAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE, WMN-B05FB/ZA",65-inch,1,MATCH (FSA),FSA_12thAmd_Table,25.93,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($112.2 + $96.9) = $25.93
46,7320261552,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,112.2,143.12,"television-home-theater-accessories, tvs","QN65S90FAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE, WMN-B05FB/ZA",65-inch,1,MATCH (Wall Mount),Wall_Mount_12thAmd,112.2,0.0,12th Amd (Pg 3): Wall Mount Delivery @ $110.0,SKU: L-INST/EQ55 | Calc: $110.0 * 1.02 (GRI) = $112.2
47,7320261552,1305900,Installation Fee,installation,Standard Tv Delivery Plus Wall Mount- Unconcealed,96.9,143.12,"television-home-theater-accessories, tvs","QN65S90FAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE, WMN-B05FB/ZA",65-inch,1,MATCH (Wall Mount Install),WM_Install_12thAmd,96.9,0.0,12th Amd (Pg 3): Wall Mount Install @ $95.0,Code 1305900 | Calc: $95.0 * 1.02 (GRI) = $96.9
48,7320261552,1002771,Truck Freight Charge,freight,Last Mile Surcharge,135.32,143.12,"television-home-theater-accessories, tvs","QN65S90FAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE, WMN-B05FB/ZA",65-inch,1,SKIPPED,,0.0,0.0,,
49,7325573621,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,16.45,"refrigerators, ranges","HA-HAUL-AWY, NSI6DB990012AA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
50,7325573621,1305780,Unknown,Unknown,Unknown,20.42,16.45,"refrigerators, ranges","HA-HAUL-AWY, NSI6DB990012AA, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
51,7325573621,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,16.45,"refrigerators, ranges","HA-HAUL-AWY, NSI6DB990012AA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
52,7325573618,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,118.91,"home-appliances-accessories, dryers","SKK-RWG, DVE45B6300P/A3, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
53,7325573618,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,118.91,"home-appliances-accessories, dryers","SKK-RWG, DVE45B6300P/A3, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
54,7325573618,1002771,Truck Freight Charge,freight,Last Mile Surcharge,87.56,118.91,"home-appliances-accessories, dryers","SKK-RWG, DVE45B6300P/A3, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,87.82,-0.26,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (118.91 - 75) mi * $2.0 = $87.82
55,7325573622,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,20.75,"cooktops-and-hoods, ranges, refrigerators, dishwashers","NK30CB600WCGAA, RF29BB8600QLAA, DM_HA_STANDARD, NSG6DG8550SRAA, DW80CG5450SRAA, HA-INST-BESPOKE00",,,UNDERCHARGED (FSA),,15.62,-4.79,,Expected 12.4% of ($125.94 (Appliance Base)) = $15.62
56,7325573622,1305771,Installation Fee,installation,White Glove,57.89,20.75,"cooktops-and-hoods, ranges, refrigerators, dishwashers","NK30CB600WCGAA, RF29BB8600QLAA, DM_HA_STANDARD, NSG6DG8550SRAA, DW80CG5450SRAA, HA-INST-BESPOKE00",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,57.88,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 4),Calc: $51 * 1.135 (GRI) = $57.88
57,7325573622,1002770,Truck Freight Charge,freight,Last Mile (Delivery),125.94,20.75,"cooktops-and-hoods, ranges, refrigerators, dishwashers","NK30CB600WCGAA, RF29BB8600QLAA, DM_HA_STANDARD, NSG6DG8550SRAA, DW80CG5450SRAA, HA-INST-BESPOKE00",,,MATCH (Appliance Delivery),Appliance_Del_2017,125.94,0.0,XPO 2017 (Pg 22): Appliance Delivery 3 Unit(s) @ $111.0 Base,Calc: $111.0 * 1.13455 (Hist. GRI) = $125.94
58,7325863816,1002785,Truck Freight Charge,freight,Limited Access (Remote Area),52.79,168.43,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (Remote Area (Tier 2)),LimitedAccess_12thAmd,52.78,0.01,12th Amd (Pg 5): Limited Access (Remote Area) @ $45.0 + 15%,Context: Remote | Calc: ($45.0 * 1.02 (GRI)) * 1.15 (Surcharge) = $52.78
59,7325863816,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,19.82,168.43,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (FSA),FSA_12thAmd_Table,19.82,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($159.81) = $19.82
60,7325863816,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,159.81,168.43,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,159.81,-0.0,12th Amd (Pg 3): TV Threshold 150-175 Miles @ $156.68,Size: 65-inch | Calc: 1 Unit: $156.68 * 1.02 (GRI) = $159.81
61,7325647306,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,38.36,"washers, dryers","DV90F53AESA3, HA-INST-DRY0E, WF90F53ADSA5, HA-INST-WAS00, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
62,7325647306,1305771,Installation Fee,installation,White Glove,30.65,38.36,"washers, dryers","DV90F53AESA3, HA-INST-DRY0E, WF90F53ADSA5, HA-INST-WAS00, DM_HA_STANDARD",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,30.64,0.0,Inferred Pattern: Base $15 + $12/Extra (Qty 2),Calc: $27 * 1.135 (GRI) = $30.64
63,7325647306,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,38.36,"washers, dryers","DV90F53AESA3, HA-INST-DRY0E, WF90F53ADSA5, HA-INST-WAS00, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
64,7325340776,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,122.48,ranges,"NSG6DG8550SRAA, HA-INST-RNG0G, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
65,7325340776,1305771,Installation Fee,installation,White Glove,17.03,122.48,ranges,"NSG6DG8550SRAA, HA-INST-RNG0G, DM_HA_STANDARD",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
66,7325340776,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,122.48,ranges,"NSG6DG8550SRAA, HA-INST-RNG0G, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
67,7325340776,1002771,Truck Freight Charge,freight,Last Mile Surcharge,93.53,122.48,ranges,"NSG6DG8550SRAA, HA-INST-RNG0G, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,94.96,-1.43,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (122.48 - 75) mi * $2.0 = $94.96
68,7325189950,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,78.79,refrigerators,"HA-INST-BESPOKE00, DM_HA_STANDARD, RF29DB960012AA",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
69,7325189950,1305771,Installation Fee,installation,White Glove,17.03,78.79,refrigerators,"HA-INST-BESPOKE00, DM_HA_STANDARD, RF29DB960012AA",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
70,7325189950,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,78.79,refrigerators,"HA-INST-BESPOKE00, DM_HA_STANDARD, RF29DB960012AA",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
71,7325189950,1002771,Truck Freight Charge,freight,Last Mile Surcharge,7.96,78.79,refrigerators,"HA-INST-BESPOKE00, DM_HA_STANDARD, RF29DB960012AA",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,7.58,0.38,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (78.79 - 75) mi * $2.0 = $7.58
72,7325449370,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,120.52,"ranges, microwaves, refrigerators, dishwashers","NE63D6711SR/AA, ME11A7510DS/AA, RS28A500ASR/AA, DW80CG5450SRAA, DM_HA_STANDARD",,,UNDERCHARGED (FSA),,13.22,-2.39,,Expected 12.4% of ($106.65 (Appliance Base)) = $13.22
