po_id,do_id,sku_id,line_item_status,order_status,product_family,product_division,display_name,product_type,index,id,score
SA308650683,7325573618,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,72a56012-4296-48b4-b10b-ff410df80779,1.0
SA164209370,7325573621,HA-HAUL-AWY,Delivered,Delivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202511,f0889570-e4d7-40c1-b49e-5925a00b1791,1.0
SA104921592,7326695139,NA36N7755TS/AA,Delivered,Delivered,cooktops-and-hoods,home-appliances,"36"" Smart Gas Cooktop with 22K BTU Dual Power Burner in Stainless Steel",Physical,usa-order-line-item-feed-v5.0.0-202511,3b0a80be-350c-471a-8436-ed2b2567d4d4,1.0
SA104921592,7326695139,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,fb09bc67-9e0c-49fd-9bfa-c4fac616475f,1.0
SA539235061,7324291027,QN65LS03FWFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class The Frame Pro LS03FW Neo QLED 4K Art Mode Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,8dd2edf0-a088-4c1e-82a8-8dcb0c72c1eb,1.0
SA065523063,7326228683,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202511,1c86a6c9-8b97-462d-bb32-64ad7689de1f,1.0
SA534346453,7326101698,HA-HAUL-AWY,Delivered,Delivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202512,b04ebc5d-b6ad-48c2-ac12-02be71e0bbd8,1.0
SA101604556,7323860229,NSG6DG8500SRAA,Delivered,Delivered,ranges,home-appliances,Bespoke 6.0 cu. ft. Smart Slide-In Gas Range with Air Sous Vide & Air Fry in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202512,122e3bd4-1390-4695-a8ef-ec59379a9d94,1.0
SA101604556,7323860229,HA-HAUL-AWY,Delivered,Delivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202512,f1292298-d250-44ca-9b04-de6841f573d1,1.0
SA060981603,7322047838,QN65LS03DAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class The Frame QLED 4K LS03D",Physical,usa-order-line-item-feed-v5.0.0-202512,2258c18a-a950-436d-bdd0-e9072d22ba5b,1.0
SA001615543,7324291965,QN75QN90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class Neo QLED 4K QN90F Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,31e04aac-b1b3-4aa7-a8ec-dabf37592cf7,1.0
SA363791924,7324205358,RF70F23DERAA,Delivered,Delivered,refrigerators,home-appliances,Bespoke 23 cu. ft. Counter Depth 4-Door French Door Refrigerator with Inner Beverage Center™ & FlexZone™ Drawer in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202512,669c2902-3322-4284-891e-41000c1bba2d,1.0
SA030443390,7324288848,DVE47CG3500VA3,Delivered,Delivered,dryers,home-appliances,7.4 cu. ft. Smart Electric Dryer with Sensor Dry in Brushed Black,Physical,usa-order-line-item-feed-v5.0.0-202512,18ebe4db-54bf-41d0-b5ed-6b175da0ba29,1.0
SA550992990,7325571064,DM_CE_WHITEGLOVE_LARGE_PAID,Delivered,Delivered,,,White Glove,Delivery,usa-order-line-item-feed-v5.0.0-202512,246c77fa-6edb-4ecb-870a-04ae25c83ffd,1.0
SA531663556,7326104124,RA-F36DMMMT/AA,Delivered,Delivered,home-appliances-accessories,home-appliances,Bespoke 4-Door French Door Refrigerator Panel in Matte Black Steel - Middle Panel,Physical,usa-order-line-item-feed-v5.0.0-202512,240231ec-b5d6-4140-b7a1-44a9c7c749c5,1.0
SA069332650,7325573681,HA-INST-WAS00,Delivered,Delivered,washers,home-appliances,Install Washer,Installation,usa-order-line-item-feed-v5.0.0-202512,0059a276-10d5-4283-9178-7fd3e3de6c24,1.0
SA566464720,7324488994,HA-HAUL-AWY,Delivered,Delivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202512,77e79647-7d30-4e15-a725-e70895607b9e,1.0
SA506517886,7323920524,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,23285b13-7068-4cd6-ab82-0f1a39b18ced,1.0
SA552682153,7325237787,LS55CG970NNXGO,Delivered,Delivered,monitors,computing,"55"" Odyssey Ark 2nd Gen. 4K UHD 165Hz 1ms(GtG) Quantum Mini-LED Curved Gaming Screen",Physical,usa-order-line-item-feed-v5.0.0-202512,c6a19711-1691-4dd8-a01f-11fa4b184065,1.0
SA559208503,7325433395,DW80CG4021SRAA,Delivered,Delivered,dishwashers,home-appliances,Fingerprint Resistant 53 dBA Dishwasher with Height-Adjustable Rack in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202512,ae669035-c720-430f-b7de-b1301d4b8abe,1.0
SA309516566,7325769280,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,177fae7e-36a5-4167-9caf-efc9db2ac077,1.0
SA309516566,7325769280,QN65S85FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class OLED S85F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,754c947a-3e63-4d9f-b632-f2b6b7e8230b,1.0
SA550243496,7325190010,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202512,14f79d09-0791-4f0f-9d46-4346cf43360b,1.0
SA560379616,7325189986,HA-INST-BESPOKE00,Delivered,Delivered,refrigerators,home-appliances,Install Bespoke Refrigerator,Installation,usa-order-line-item-feed-v5.0.0-202512,363ace59-c91a-4846-8244-192dbe741b67,1.0
SA159735183,7325780649,HA-INST-BESPOKE00,Delivered,Delivered,refrigerators,home-appliances,Install Bespoke Refrigerator,Installation,usa-order-line-item-feed-v5.0.0-202512,43fbb866-c421-4759-b9bd-fab867a26112,1.0
SA159735183,7325780649,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202512,d48f33be-c18a-4801-bd15-3b1900b060fb,1.0
SA557237163,7325769272,L-INST/A1-EQ55,Delivered,Delivered,television-home-theater-accessories,televisions-home-theater,Professional TV mounting,Installation,usa-order-line-item-feed-v5.0.0-202512,eae45d28-d8c3-4b79-97af-c565fb2cf7c6,1.0
SA152294036,7324946336,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,79aa8a0d-3588-4b88-9c32-1090a13c958a,1.0
SA154236100,7324282207,L-INST/A1-EQ55,Delivered,Delivered,television-home-theater-accessories,televisions-home-theater,Professional TV mounting,Installation,usa-order-line-item-feed-v5.0.0-202512,2a7c59e0-452d-468c-9d65-eda300666920,1.0
SA139468281,7324723122,QN65S90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class OLED S90F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,64258a9b-0554-4e5b-a85d-7f4280185195,1.0
SA534394253,7324571102,UN85U8000FFXZA,Delivered,Delivered,tvs,televisions-home-theater,"85"" Class Crystal UHD U8000F 4K Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,9eeee2af-9632-4831-9ac3-c7e6dfd549c3,1.0
SA334972063,7324859924,RF90F29AECEAA,Delivered,Delivered,refrigerators,home-appliances,Bespoke 29 cu. ft. 4-Door French Door Refrigerator with AI Family Hub™+ & AI Vision Inside™ in Charcoal Glass and Black/Charcoal,Physical,usa-order-line-item-feed-v5.0.0-202512,5dffd321-f853-479a-b47f-753b68e8290a,1.0
SA332908550,7325797821,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,52a82a6e-a3ca-4ba2-894b-eefd3ac1003d,1.0
SA059162656,7325586667,QN75Q8FAAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class QLED Q8F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,a4a632dd-256e-46a9-b3ed-a2f812dc3c01,1.0
SA335117840,7325015230,NV51CG700DSRAA,Delivered,Delivered,wall-ovens,home-appliances," Bespoke 30"" Stainless Steel Double Wall Oven with AI Pro Cooking™ Camera",Physical,usa-order-line-item-feed-v5.0.0-202512,9d3b2511-1e3d-479f-85fe-1ad3dcb65467,1.0
SA338581316,7325641408,HA-INST-DRY0E,Delivered,Delivered,dryers,home-appliances,Install Dryer – Electric,Installation,usa-order-line-item-feed-v5.0.0-202512,9681c911-2339-4ad9-988d-af8c3cad9997,1.0
SA054778260,7325129895,WE702NB/US,Delivered,Delivered,home-appliances-accessories,home-appliances,Bespoke AI Laundry Combo™ Pedestal with Storage Drawer in Brushed Black,Physical,usa-order-line-item-feed-v5.0.0-202512,b3eec458-e249-4346-99c8-47d895fec478,1.0
SA360697850,7325701713,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,606eabd6-9a0d-48d9-9b3d-07cec9866cec,1.0
SA351495806,7325701712,QN85QN90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"85"" Class Neo QLED 4K QN90F Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,c874dad9-4390-4143-8ca6-fe98dcec04a0,1.0
SA038964331,7325403615,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,74290cbd-45e3-4f79-b248-7df36840eeb7,1.0
SA065264156,7325701730,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,9243241a-f10e-4ace-b320-f9d69a2b233c,1.0
SA364794287,7324723187,RF32CG5400MTAA,Delivered,Delivered,refrigerators,home-appliances,31 cu. ft. Mega Capacity 3-Door French Door Refrigerator with Four Types of Ice in Matte Black Steel,Physical,usa-order-line-item-feed-v5.0.0-202512,4882b917-a474-4e2a-849a-21d2ae799b8c,1.0
SA306889761,7325803627,DVE45B6300P/A3,Delivered,Delivered,dryers,home-appliances,7.5 cu. ft. Smart Electric Dryer with Steam Sanitize+ in Platinum,Physical,usa-order-line-item-feed-v5.0.0-202512,d0de8cd1-b4f0-4ce1-9b12-4589c99a0df4,1.0
SA550706216,7325709678,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,25f6e271-e1bc-431b-964c-c67e15a3ff9a,1.0
SA009885561,7325573606,QN77S90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"77"" Class OLED S90F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,9c209b3d-d69e-43a4-ba95-463398d2417d,1.0
SA500631526,7325273518,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202512,b04c7758-1be8-458b-add8-da92d74b03f3,1.0
SA365336451,7325701100,DM_CE_WHITEGLOVE_LARGE_PAID,Delivered,Delivered,,,White Glove,Delivery,usa-order-line-item-feed-v5.0.0-202512,f9c9631f-9247-4284-a8d8-453b1ce1d105,1.0
SA007788333,7325701091,QN65QN1EFAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class Neo QLED 4K QN1EF Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,e32d6876-9f63-460a-9bc1-1f6400a42351,1.0
SA132568106,7325701099,QN75LS03FWFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class The Frame Pro LS03FW Neo QLED 4K Art Mode Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,d73334d9-fe8b-44a6-9972-60ae0d992d89,1.0
SA564616533,7325863827,QN75QN90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class Neo QLED 4K QN90F Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,75e0d400-49c8-41eb-93ca-ca8ae5ac284f,1.0
SA508668663,7325950429,HA-INST-DSH00,Shipped,PartiallyDelivered,dishwashers,home-appliances,Install Dishwasher,Installation,usa-order-line-item-feed-v5.0.0-202512,20292b40-bee4-4733-b822-3c5f46e85e02,1.0
SA508668663,7325950429,HA-HAUL-AWY,Delivered,PartiallyDelivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202512,276977bd-d412-4604-a16f-f9214bd5100a,1.0
SA508668663,7325950429,HA-INST-BESPOKE00,Delivered,PartiallyDelivered,refrigerators,home-appliances,Install Bespoke Refrigerator,Installation,usa-order-line-item-feed-v5.0.0-202512,ebaf0891-551f-468f-b336-5a8a556c2fda,1.0
SA002168816,7324478264,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,5fcde8f9-1b0d-466f-863d-79a411d69f1e,1.0
SA565080113,7325571076,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,70fcea6d-b1ec-4b7b-9668-289a71c0aecd,1.0
SA063749001,7325561744,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,6e6f6dc4-8433-4b05-b00f-d16fe36555f4,1.0
SA360921206,7325701734,L-INST/A1-EQ55,Delivered,Delivered,television-home-theater-accessories,televisions-home-theater,Professional TV mounting,Installation,usa-order-line-item-feed-v5.0.0-202512,d4a51b2a-78e5-4183-b5a6-f64b8a76bdbb,1.0
SA037192301,7325573610,QN65QN90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class Neo QLED 4K QN90F Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,625c0c64-499b-4154-b959-7fd136cb1e76,1.0
SA559686516,7325769276,QN55S90FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"55"" Class OLED S90F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,04a16f02-6aec-4002-ac13-f7505e777814,1.0
SA168801026,7326113119,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202512,14036dbf-8451-4dff-a835-9bf3685b870b,1.0
SA566283460,7325340793,HA-HAUL-AWY,Delivered,Delivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202512,12ce6636-c39c-4d10-bedc-ee65d4070972,1.0
SA566283460,7325340793,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202512,4646b13a-9eb6-47e1-a1cf-95f535cde758,1.0
SA561991004,7325863839,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,7ababab8-8b30-4089-8ef0-169154f4f00f,1.0
SA568755807,7326132534,RA-F18DU433/AA,Delivered,Delivered,home-appliances-accessories,home-appliances,Bespoke 4-Door French Door Refrigerator Panel in Charcoal Glass - Top Panel,Physical,usa-order-line-item-feed-v5.0.0-202512,d885b2f2-67d8-4c83-9f4b-85f4dbab2766,1.0
SA363096430,7325948782,L-INST/A1-EQ55,Delivered,Delivered,television-home-theater-accessories,televisions-home-theater,Professional TV mounting,Installation,usa-order-line-item-feed-v5.0.0-202512,84e05e01-1e05-46a2-8456-b1b8fb8813d7,1.0
SA363096430,7325948782,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,f8755553-9db7-46ec-b5ec-307000749833,1.0
SA001459763,7325477412,ART-STORE-ANNUAL,Delivered,Delivered,,,Annual Art Store Subscription,Digital,usa-order-line-item-feed-v5.0.0-202512,7e76fb54-b6b8-4d37-9ffc-048a63683e13,1.0
SA537242496,7325769284,QN75LS03FWFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class The Frame Pro LS03FW Neo QLED 4K Art Mode Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,8ca8ade5-6d10-45f3-b125-8e8ca297b637,1.0
SA052388210,7325189913,QN75LS03FWFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class The Frame Pro LS03FW Neo QLED 4K Art Mode Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202512,9a3ed88a-2b51-42ac-9670-349b41715d89,1.0
SA000375446,7324727892,LS55CG970NNXGO,Delivered,Delivered,monitors,computing,"55"" Odyssey Ark 2nd Gen. 4K UHD 165Hz 1ms(GtG) Quantum Mini-LED Curved Gaming Screen",Physical,usa-order-line-item-feed-v5.0.0-202512,ea1fec11-22b5-48a4-8e8d-2a9751ffe28a,1.0
SA108271200,7325189319,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202512,5b20ba0e-5f0c-4f90-9c3d-e022f63668d7,1.0
